book_id,goodreads_title,isbn_lookup,openlibrary_found,openlibrary_id,openlibrary_url,openlibrary_title,publish_date,page_count,publishers,primary_publisher,subjects,primary_subject,subject_count,cover_url
91,"The Maze Runner (Maze Runner, #1)",0385737947,True,OL25646307M,http://openlibrary.org/books/OL25646307M/The_Maze_Runner,The Maze Runner,2009,378.0,Delacorte Press,Delacorte Press,"Fiction; Science fiction; Amnesia; Cooperativeness; Labyrinths; Juvenile Fiction; Children's fiction; Amnesia, fiction",Fiction,30,https://covers.openlibrary.org/b/id/7911799-L.jpg
93,The Secret Garden,9780517189612,False,,,,,,,,,,0,
95,The Picture of Dorian Gray,0375751513,True,OL3382849M,http://openlibrary.org/books/OL3382849M/The_picture_of_Dorian_Gray,The picture of Dorian Gray,2004,266.0,Modern Library,Modern Library,"British and irish fiction (fictional works by one author); Conduct of life, fiction; Fantasy fiction; Appearance (Philosophy); Fiction; Conduct of life; Youthfulness; Portraits",British and irish fiction (fictional works by one author),66,https://covers.openlibrary.org/b/id/229899-L.jpg
96,"Fifty Shades Freed (Fifty Shades, #3)",9780345803512,False,,,,,,,,,,0,
97,Dracula,0393970124,True,OL23274384M,http://openlibrary.org/books/OL23274384M/Dracula,Dracula,1997,492.0,W.W. Norton & Co.,W.W. Norton & Co.,"Fiction, horror; Vampires, fiction; Dracula, count (fictitious character), fiction; British and irish fiction (fictional works by one author); Romania, fiction; Film and video adaptations; English Horror tales; History and criticism","Fiction, horror",12,https://covers.openlibrary.org/b/id/11993677-L.jpg
98,"The Girl Who Played with Fire (Millennium, #2)",0307269981,True,OL24129897M,http://openlibrary.org/books/OL24129897M/The_Girl_Who_Played_with_Fire,The Girl Who Played with Fire,2009,503.0,Alfred A. Knopf,Alfred A. Knopf,crime fiction; Investigation; Hackers; Human trafficking; crime; mystery and suspense stories; detectives; gritty,crime fiction,37,https://covers.openlibrary.org/b/id/8490712-L.jpg
99,"Fifty Shades Darker (Fifty Shades, #2)",1612130585,True,OL30697486M,http://openlibrary.org/books/OL30697486M/Fifty_Shades_Darker,Fifty Shades Darker,2011,394.0,The Writer's Coffee Shop,The Writer's Coffee Shop,"Sexual dominance and submission, fiction; Man-woman relationships, fiction; Relaciones hombre-mujer; Ficción; Sadomasoquismo; Cuentos eróticos; Contemporary Women; Businesspeople","Sexual dominance and submission, fiction",30,https://covers.openlibrary.org/b/id/14566702-L.jpg
100,The Poisonwood Bible,9780060786512,False,,,,,,,,,,0,
101,Me Talk Pretty One Day,0349113912,True,OL16257203M,http://openlibrary.org/books/OL16257203M/Me_talk_pretty_one_day,Me talk pretty one day,2002,272.0,Abacus,Abacus,David Sedaris; teens; teenagers; YA; young adult; juvenile; Nonfiction; Biography,David Sedaris,26,https://covers.openlibrary.org/b/id/14752516-L.jpg
103,The Count of Monte Cristo,0140449264,True,OL3703020M,http://openlibrary.org/books/OL3703020M/The_Count_of_Monte_Cristo,The Count of Monte Cristo,2003,1276.0,Penguin Books,Penguin Books,France -- History -- 19th century -- Fiction; France; Fiction; France in fiction; History; Adventure and adventurers in fiction; Readers; French language,France -- History -- 19th century -- Fiction,67,https://covers.openlibrary.org/b/id/14564134-L.jpg
104,The Road,0307265439,True,OL15610563M,http://openlibrary.org/books/OL15610563M/The_Road,The Road,2006,241.0,Alfred A. Knopf; Knopf,Alfred A. Knopf,Fiction; Dystopia; Adventure; post-apocalyptic fiction; extinction event; Open Library Staff Picks; Fathers and sons; Survival skills,Fiction,46,https://covers.openlibrary.org/b/id/8373710-L.jpg
107,A Walk to Remember,0446693804,True,OL23243570M,http://openlibrary.org/books/OL23243570M/A_walk_to_remember,A walk to remember,1999,240.0,Warner Books,Warner Books,"Fiction; Teenage boys; Children of clergy; First loves; Bildungsroman; Love stories; Fiction, romance, contemporary; North carolina, fiction",Fiction,11,
108,"Confessions of a Shopaholic (Shopaholic, #1)",0440241413,True,OL24092419M,http://openlibrary.org/books/OL24092419M/Confessions_of_a_Shopaholic,Confessions of a Shopaholic,2003,368.0,Dell,Dell,"Fiction; Young women; Debt; Shopping; Becky Bloomwood (Fictitious character); nyt:trade-fiction-paperback=2009-01-18; New York Times bestseller; Fiction, humorous, general",Fiction,20,https://covers.openlibrary.org/b/id/6305261-L.jpg
109,Les Misérables,0451525264,True,OL25677505M,http://openlibrary.org/books/OL25677505M/Les_Misérables,Les Misérables,"March 3, 1987",1463.0,Penguin,Penguin,"Poverty; Fiction; Readers; Fiction, historical; France, fiction; Ex-convicts; History; Historical fiction",Poverty,86,https://covers.openlibrary.org/b/id/15154118-L.jpg
110,"A Clash of Kings  (A Song of Ice and Fire, #2)",9780553381712,False,,,,,,,,,,0,
111,The Memory Keeper's Daughter,0143037145,True,OL32658993M,http://openlibrary.org/books/OL32658993M/The_Memory_Keeper's_Daughter,The Memory Keeper's Daughter,2006,,Penguin Books,Penguin Books,women; women's fiction; literary fiction; Fathers and daughters; Twins; Brothers and sisters; Abandoned children; Down syndrome,women,39,https://covers.openlibrary.org/b/id/11286952-L.jpg
112,"Me Before You (Me Before You, #1)",0670026603,True,OL25934767M,http://openlibrary.org/books/OL25934767M/Me_Before_You,Me Before You,2012,,Pamela Dorman Books/Viking,Pamela Dorman Books/Viking,"Young women; FICTION / Contemporary Women; FICTION / Romance / Contemporary; Fiction; Paraplegics; Fiction, women; Fiction, romance, contemporary; Young women, fiction",Young women,47,https://covers.openlibrary.org/b/id/14621696-L.jpg
113,Catch-22,0684833395,True,OL23245221M,http://openlibrary.org/books/OL23245221M/Catch-22,Catch-22,1996,568.0,Knopf,Knopf,"Open Library Staff Picks; Satire; War stories; Fiction; Drama; World War, 1939-1945; Catch-22 (Heller, Joseph); World War (1939-1945) fast (OCoLC)fst01180924",Open Library Staff Picks,35,https://covers.openlibrary.org/b/id/7877422-L.jpg
114,Tuesdays with Morrie,0751529818,True,OL7980510M,http://openlibrary.org/books/OL7980510M/Tuesdays_with_Morrie,Tuesdays with Morrie,2013,210.0,Sphere,Sphere,memoir; ALS; sociology; Nightline; Death; Brandeis University; Amyotrophic lateral sclerosis; Faculty,memoir,90,https://covers.openlibrary.org/b/id/12560506-L.jpg
115,Middlesex,0312422156,True,OL18261476M,http://openlibrary.org/books/OL18261476M/Middlesex,Middlesex,2002,529.0,Picador,Picador,Intersexuality; Greek Americans; Teenagers; open_syllabus_project; Fiction; Hermaphroditism; Gender identity; City and town life,Intersexuality,40,https://covers.openlibrary.org/b/id/12367182-L.jpg
116,The Adventures of Tom Sawyer,0143039563,True,OL32354763M,http://openlibrary.org/books/OL32354763M/The_Adventures_of_Tom_Sawyer,The Adventures of Tom Sawyer,2005,231.0,Mediasat Group,Mediasat Group,The Adventures of Tom Sawyer; Mark Twain; 1835-1910; 19th Century; Historical; Fiction; Classic; American,The Adventures of Tom Sawyer,131,https://covers.openlibrary.org/b/id/10989924-L.jpg
117,"A Wrinkle in Time (A Wrinkle in Time Quintet, #1)",0440498058,True,OL26318808M,http://openlibrary.org/books/OL26318808M/A_Wrinkle_in_Time,A Wrinkle in Time,1962,,Bantam,Bantam,Love; sci-fi; Newbery Medal; Open Library Staff Picks; Juvenile fiction; Space and time; Fiction; Science fiction,Love,51,https://covers.openlibrary.org/b/id/15166378-L.jpg
118,The Joy Luck Club,0143038095,True,OL26690126M,http://openlibrary.org/books/OL26690126M/The_Joy_Luck_Club,The Joy Luck Club,2006,288.0,Penguin Books,Penguin Books,Chinese American; Chinese American women; Chinese American women in fiction; Chinese Americans; Chinese Americans in fiction; Death; Female friendship; Female friendship in fiction,Chinese American,52,https://covers.openlibrary.org/b/id/14599648-L.jpg
119,The Handmaid's Tale,038549081X,True,OL51647052M,http://openlibrary.org/books/OL51647052M/The_Handmaid's_Tale,The Handmaid's Tale,2003?,311.0,Anchor Books,Anchor Books,brothels; Canadian authors; Canadian fantasy fiction; Canadian fiction (fictional works by one author); Christian fundamentalism; Dystopian fiction; Dystopias; fantasy fiction,brothels,59,https://covers.openlibrary.org/b/id/15162571-L.jpg
120,"The Sisterhood of the Traveling Pants (Sisterhood, #1)",0385729332,True,OL3584221M,http://openlibrary.org/books/OL3584221M/The_sisterhood_of_the_traveling_pants,The sisterhood of the traveling pants,2001,294.0,Delacorte Press; Delacorte Books for Young Readers,Delacorte Press,Best friends; Conduct of life; Fiction; Friendship; Jeans (Clothing); Juvenile fiction; Pants; Summer,Best friends,15,https://covers.openlibrary.org/b/id/243948-L.jpg
123,"The Firm (Penguin Readers, Level 5)",0582418275,True,OL18394938M,http://openlibrary.org/books/OL18394938M/The_firm,The firm,1999,75.0,Pearson Education Ltd.,Pearson Education Ltd.,"Fiction; Organized crime; Government investigators; Readers for new literates; Fiction, legal; Fiction, thrillers, general; Fiction, thrillers",Fiction,7,
124,Room,0316098337,True,OL24549062M,http://openlibrary.org/books/OL24549062M/Room_A_Novel,Room: A Novel,2010,,"Hachette Digital, Inc.","Hachette Digital, Inc.",,,0,
125,Hamlet,0521618746,True,OL7748879M,http://openlibrary.org/books/OL7748879M/Hamlet,Hamlet,"December 19, 2005",286.0,Cambridge University Press,Cambridge University Press,"performing arts; Stage history; Reyes, reinas, soberanos; Venganza; History and criticism; Criticism and interpretation; LITERARY CRITICISM; Succession",performing arts,141,https://covers.openlibrary.org/b/id/349855-L.jpg
126,Dune (Dune Chronicles #1),0340839937,True,OL10677120M,http://openlibrary.org/books/OL10677120M/Dune,Dune,"June 5, 2006",608.0,Hodder & Stoughton,Hodder & Stoughton,"Dune (Imaginary place); Fiction; Fiction, science fiction, general; Dune (imaginary place), fiction; New York Times reviewed; Science fiction; Science-fiction; American literature",Dune (Imaginary place),19,https://covers.openlibrary.org/b/id/2402172-L.jpg
127,The Tipping Point: How Little Things Can Make a Big Difference,0316346624,True,OL21594367M,http://openlibrary.org/books/OL21594367M/The_tipping_point,The tipping point,2000,301.0,"Little, Brown","Little, Brown",Contagion (Social psychology); Business; Causation; nyt:paperback_business_books=2012-02-25; Nonfiction; Social psychology; Context effects (Psychology); New York Times bestseller,Contagion (Social psychology),32,https://covers.openlibrary.org/b/id/14628318-L.jpg
128,Steve Jobs,1451648537,True,OL26211635M,http://openlibrary.org/books/OL26211635M/Steve_Jobs,Steve Jobs,2011,630.0,Simon & Schuster,Simon & Schuster,TECHNOLOGY & ENGINEERING / General; History; Inc Apple Computer; BIOGRAPHY & AUTOBIOGRAPHY / Business; Computer engineers; Businesspeople; Biography; BUSINESS & ECONOMICS / General,TECHNOLOGY & ENGINEERING / General,61,https://covers.openlibrary.org/b/id/15091624-L.jpg
129,One Flew Over the Cuckoo's Nest,0451163966,True,OL20947360M,http://openlibrary.org/books/OL20947360M/One_Flew_Over_the_Cuckoo's_Nest,One Flew Over the Cuckoo's Nest,September 2019,272.0,Signet,Signet,Allegories; psychiatric nursing; medical novels; Belletristische Darstellung; Psychiatrische Klinik; Fiction; Psychiatric nurses in fiction; Psychiatric hospital patients in fiction,Allegories,37,https://covers.openlibrary.org/b/id/10543000-L.jpg
130,The Old Man and the Sea,0684830493,True,OL974459M,http://openlibrary.org/books/OL974459M/The_Old_Man_and_The_Sea,The Old Man and The Sea,1996,93.0,Scribner,Scribner,American Sea stories; Male friendship; Fishers; Fiction; Ameriška književnost; American fiction; Ancianos; Open Library Staff Picks,American Sea stories,61,https://covers.openlibrary.org/b/id/426182-L.jpg
131,The Grapes of Wrath,0142000663,True,OL24083096M,http://openlibrary.org/books/OL24083096M/The_Grapes_of_Wrath,The Grapes of Wrath,2002,,,,Labor camps; Depressions; Labor camps in literature; Classic Literature; Open Library Staff Picks; Pulitzer Prize Winner; Fiction; Migrant agricultural laborers in literature,Labor camps,58,https://covers.openlibrary.org/b/id/10586695-L.jpg
132,The Five People You Meet in Heaven,1401308589,True,OL36671603M,http://openlibrary.org/books/OL36671603M/The_Five_People_You_Meet_in_Heaven,The Five People You Meet in Heaven,2003,196.0,Hyperion,Hyperion,Rainforests; prisoners of war; labor camps; land mines; argyria; silver nitrate; sideshows; diners,Rainforests,54,https://covers.openlibrary.org/b/id/12560440-L.jpg
133,"Anne of Green Gables (Anne of Green Gables, #1)",0451528824,True,OL3682766M,http://openlibrary.org/books/OL3682766M/Anne_of_Green_Gables,Anne of Green Gables,2003,320.0,Signet Classic,Signet Classic,Fiction; Juvenile fiction; Country life; Friendship; Orphans; Friendship in fiction; Prince Edward Island in fiction; Orphans in fiction,Fiction,66,https://covers.openlibrary.org/b/id/295763-L.jpg
135,"A Storm of Swords (A Song of Ice and Fire, #3)",055357342X,True,OL24220659M,http://openlibrary.org/books/OL24220659M/A_Storm_of_Swords,A Storm of Swords,2005,1177.0,Bantam Books,Bantam Books,New York Times bestseller; nyt:mass_market_paperback=2011-06-04; Seven Kingdoms (Imaginary place); Fiction; Fantasy fiction; Imaginary wars and battles; Reading Level-Grade 7; Reading Level-Grade 9,New York Times bestseller,36,https://covers.openlibrary.org/b/id/8742075-L.jpg
136,Divine Secrets of the Ya-Ya Sisterhood,006075995X,True,OL7281243M,http://openlibrary.org/books/OL7281243M/Divine_Secrets_of_the_Ya-Ya_Sisterhood,Divine Secrets of the Ya-Ya Sisterhood,"December 7, 2004",383.0,Harper Paperbacks,Harper Paperbacks,Fiction; Literature; Conflict of generations; Family; Female friendship; Mothers and daughters; Women; Friendship,Fiction,21,https://covers.openlibrary.org/b/id/34979-L.jpg
137,"Outlander (Outlander, #1)",0440242940,True,OL7520304M,http://openlibrary.org/books/OL7520304M/Outlander,Outlander,"July 26, 2005",896.0,Dell,Dell,"Man-woman relationships, fiction; Historical fiction; Culloden, Battle of, Scotland, 1746; Jacobite Rebellion, 1745-1746 in fiction; History; Scotland in fiction; Fiction; Jacobite Rebellion, 1745-1746","Man-woman relationships, fiction",33,https://covers.openlibrary.org/b/id/281790-L.jpg
138,The Scarlet Letter,0142437263,True,OL17920846M,http://openlibrary.org/books/OL17920846M/The_Scarlet_Letter,The Scarlet Letter,2003,238.0,Penguin Books,Penguin Books,Fiction; Puritans; Puritans in fiction; History; Adultery in fiction; Adultery; Illegitimate children; Illegitimate children in fiction,Fiction,142,https://covers.openlibrary.org/b/id/10228509-L.jpg
139,"Miss Peregrine’s Home for Peculiar Children (Miss Peregrine’s Peculiar Children, #1)",1594744769,True,OL25032352M,http://openlibrary.org/books/OL25032352M/Miss_Peregrine's_Home_for_Peculiar_Children,Miss Peregrine's Home for Peculiar Children,7 June 2011,352.0,Quirk Books,Quirk Books,Orphanages; Graphic novels; Supernatural; Grandfathers; Teenage boys; Islands; Juvenile fiction; Mystery and detective stories,Orphanages,34,https://covers.openlibrary.org/b/id/6984039-L.jpg
140,"The Girl Who Kicked the Hornet's Nest (Millennium, #3)",030726999X,True,OL24080825M,http://openlibrary.org/books/OL24080825M/The_Girl_Who_Kicked_the_Hornet's_Nest,The Girl Who Kicked the Hornet's Nest,2010,566.0,Alfred A. Knopf,Alfred A. Knopf,Political corruption; nyt:hardcover_fiction=2010-05-23; Revenge; Fiction; New York Times bestseller; Computer hackers; Journalists; Lisbeth Salander (Fictitious character),Political corruption,39,https://covers.openlibrary.org/b/id/6389452-L.jpg
141,The Martian,0804139024,True,OL32815550M,http://openlibrary.org/books/OL32815550M/The_Martian,The Martian,2014,369.0,Crown Publishers,Crown Publishers,Science-Fiction; Science Fiction & Fantasy; Suspense & Thriller; Science fiction; Amerikanisches Englisch; Astronauts; Survival; Fiction,Science-Fiction,29,https://covers.openlibrary.org/b/id/14641755-L.jpg
142,"The Pillars of the Earth (The Kingsbridge Series, #1)",0451207149,True,OL7574418M,http://openlibrary.org/books/OL7574418M/The_Pillars_of_the_Earth,The Pillars of the Earth,2007?,976.0,New American Library,New American Library,White Ship; The Anarchy; Battle of Lincoln; Anglo-Saxon law; Suspense & Thriller; epic fiction; suspense fiction; church and state,White Ship,40,https://covers.openlibrary.org/b/id/8598254-L.jpg
143,All the Light We Cannot See,1476746583,True,OL46538333M,http://openlibrary.org/books/OL46538333M/All_the_Light_We_Cannot_See,All the Light We Cannot See,2014-05,,Scribner,Scribner,"Blind; FICTION / General; Fiction; Youth; World War, 1939-1945; FICTION / Literary; FICTION / Historical; History",Blind,55,https://covers.openlibrary.org/b/id/14847382-L.jpg
144,"Unbroken: A World War II Story of Survival, Resilience, and Redemption",1400064163,True,OL26650320M,http://openlibrary.org/books/OL26650320M/Unbroken,Unbroken,2010,,Random House,Random House,"New York Times bestseller; nyt:hardcover_political_books=2012-02-25; Prisoners of war; Campaigns; American Aerial operations; World War, 1939-1945; Long-distance runners; United States",New York Times bestseller,64,https://covers.openlibrary.org/b/id/15055477-L.jpg
145,Deception Point,0671027387,True,OL50365295M,http://openlibrary.org/books/OL50365295M/Deception_Point,Deception Point,2002-12,559.0,Pocket Books,Pocket Books,mystery fiction; adventure fiction; literature; Meteors; Conspiracies; Presidents; Scientists; Fiction,mystery fiction,51,https://covers.openlibrary.org/b/id/14553479-L.jpg
146,The Goldfinch,0316055433,True,OL25434599M,http://openlibrary.org/books/OL25434599M/The_Goldfinch,The Goldfinch,2013,771.0,"Little, Brown and Company","Little, Brown and Company","goldfinch; Fiction; Self-realization; Loss (Psychology); Artists; Young men; Fiction, coming of age; New york (n.y.), fiction",goldfinch,43,https://covers.openlibrary.org/b/id/7267111-L.jpg
147,Thirteen Reasons Why,1595141715,True,OL37089810M,http://openlibrary.org/books/OL37089810M/Th1rteen_r3asons_why,Th1rteen r3asons why,2008,288.0,Razorbill,Razorbill,Mystery; nyt:paperback_books=2011-06-11; Suicide; Young adult fiction; Schools in fiction; Fiction; Interpersonal relations in fiction; Interpersonal relations,Mystery,52,https://covers.openlibrary.org/b/id/12648223-L.jpg
148,Girl with a Pearl Earring,0452287022,True,OL23243854M,http://openlibrary.org/books/OL23243854M/Girl_with_a_pearl_earring,Girl with a pearl earring,2000,233.0,Dutton,Dutton,"Artists' models; Artists' models in fiction; Social life and customs; Open Library Staff Picks; Fiction; Vermeer, Johannes, in fiction; Women household employees in fiction; Women domestics in fiction",Artists' models,43,https://covers.openlibrary.org/b/id/8231875-L.jpg
149,"If I Stay (If I Stay, #1)",0525421033,True,OL21559347M,http://openlibrary.org/books/OL21559347M/If_I_Stay,If I Stay,2009,201.0,Dutton Children's Books; Penguin Young Readers Group; Dutton Books,Dutton Children's Books,Death; nyt:paperback_books=2011-04-09; Literature; Juvenile Fiction; Family life; Fiction; Violoncellists; Coma,Death,39,https://covers.openlibrary.org/b/id/8132937-L.jpg
150,The Red Tent,0312353766,True,OL3437294M,http://openlibrary.org/books/OL3437294M/The_red_tent_Anita_Diamant.,The red tent / Anita Diamant.,2005,321.0,St. Martin's Press,St. Martin's Press,"Bible; Fiction; History of Biblical events; Religious fiction; Women in the Bible; Fiction, religious",Bible,6,https://covers.openlibrary.org/b/id/181018-L.jpg
151,"The Sea of Monsters (Percy Jackson and the Olympians, #2)",0786856866,True,OL42347879M,http://openlibrary.org/books/OL42347879M/The_Sea_of_Monsters,The Sea of Monsters,2006-04,279.0,Disney - Hyperion; Miramax Books/Hyperion Books for Children,Disney - Hyperion,"Serie:Percy_Jackson_and_the_Olympians; Fiction; Fantasy; Greek Mythology; Juvenile fiction; Camps; Friendship; Camps, fiction",Serie:Percy_Jackson_and_the_Olympians,27,https://covers.openlibrary.org/b/id/14601476-L.jpg
152,Dear John,0446528056,True,OL7536923M,http://openlibrary.org/books/OL7536923M/Dear_John,Dear John,"October 30, 2006",276.0,Warner Books,Warner Books,"Long-distance relationships; Soldiers; Fiction; Man-woman relationship; Love stories; Fiction, romance, contemporary; Man-woman relationships, fiction; nyt:mass-market-paperback=2008-07-20",Long-distance relationships,14,https://covers.openlibrary.org/b/id/286188-L.jpg
153,"City of Ashes (The Mortal Instruments, #2)",9781416914312,False,,,,,,,,,,0,
154,Macbeth,0743477103,True,OL24373677M,http://openlibrary.org/books/OL24373677M/The_tragedy_of_Macbeth,The tragedy of Macbeth,2002,223.0,Washington Square Press,Washington Square Press,Drama; Regicides; Kings and rulers; Texts; French-Canadian dialect; Scotland; kings; greed,Drama,146,https://covers.openlibrary.org/b/id/6615064-L.jpg
155,"The Two Towers (The Lord of the Rings, #2)",0618346260,True,OL26447421M,http://openlibrary.org/books/OL26447421M/The_Two_Towers,The Two Towers,2003,,Houghton Mifflin Company,Houghton Mifflin Company,Ents; Orcs; hobbits; magic; Ficción fantástica inglesa; Ficción; translations into Spanish; readers for new literates,Ents,57,https://covers.openlibrary.org/b/id/14624667-L.jpg
156,"Something Borrowed (Darcy & Rachel, #1)",031232118X,True,OL3301556M,http://openlibrary.org/books/OL3301556M/Something_borrowed,Something borrowed,2004,322.0,St. Martins Press,St. Martins Press,Single women; Triangles (Interpersonal relations); nyt:trade_fiction_paperback=2011-05-28; Fiction; Single women in fiction; Risk-taking (Psychology); New York Times bestseller; Female friendship,Single women,16,https://covers.openlibrary.org/b/id/179832-L.jpg
157,Green Eggs and Ham,0394800168,True,OL23292667M,http://openlibrary.org/books/OL23292667M/Green_Eggs_and_Ham_(1988),Green Eggs and Ham (1988),1988,62.0,"Beginner Books (Div. of Random House, Inc.) In Canada by Random House of Canada Limited","Beginner Books (Div. of Random House, Inc.) In Canada by Random House of Canada Limited",1960-1988; Dr. Seuss; Beginner Books; I Can Read It All By Myself; Green Eggs and Ham; Audio-Cassette included; First time readers; English,1960-1988,49,https://covers.openlibrary.org/b/id/6507741-L.jpg
158,"Charlie and the Chocolate Factory (Charlie Bucket, #1)",0142403881,True,OL7360740M,http://openlibrary.org/books/OL7360740M/Charlie_and_the_Chocolate_Factory,Charlie and the Chocolate Factory,2005,176.0,Puffin Books; Puffin,Puffin Books,Childrens Media Tie-In Books; Children's Middle Grade Action & Adventure Books; Children's Picture Books; Avarice; Behavior; Chocolat; Chocolate; Chocolate factories,Childrens Media Tie-In Books,51,https://covers.openlibrary.org/b/id/8388025-L.jpg
159,"The Battle of the Labyrinth (Percy Jackson and the Olympians, #4)",1423101464,True,OL42344078M,http://openlibrary.org/books/OL42344078M/The_Battle_of_the_Labyrinth,The Battle of the Labyrinth,2008,,Disney - Hyperion Books,Disney - Hyperion Books,Serie:Percy_Jackson_and_the_Olympians; Greek Mythology; Juvenile fiction; Fiction; Monsters in fiction; Labyrinths; Camps; Monsters,Serie:Percy_Jackson_and_the_Olympians,39,https://covers.openlibrary.org/b/id/14572716-L.jpg
160,Great Expectations,0192833596,True,OL7384012M,http://openlibrary.org/books/OL7384012M/Great_Expectations,Great Expectations,1998,530.0,"Oxford University Press; Oxford University Press, USA",Oxford University Press,Authors; Benefactors; Bildungsromans; Boys; British and irish fiction (fictional works by one author); Child and youth fiction; Classic Literature; Coming of age,Authors,63,https://covers.openlibrary.org/b/id/9280556-L.jpg
161,"The Return of the King (The Lord of the Rings, #3)",0345339738,True,OL51708836M,http://openlibrary.org/books/OL51708836M/The_Return_of_the_King,The Return of the King,1986-07,544.0,Ballantine Books,Ballantine Books,Elves; Hobbits; The Lord of the Rings; hope; fear; magic; Fiction; Fantasy,Elves,44,https://covers.openlibrary.org/b/id/14627081-L.jpg
164,Eleanor & Park,1250012570,True,OL61146885M,http://openlibrary.org/books/OL61146885M/Eleanor_Park,Eleanor & Park,2013,,St. Martin's Press,St. Martin's Press,Love & Romance; Love; JUVENILE FICTION; Teenagers; Fiction; Bullying; First loves; Dating (Social customs),Love & Romance,51,https://covers.openlibrary.org/b/id/15216441-L.jpg
165,"A Feast for Crows (A Song of Ice and Fire, #4)",055358202X,True,OL60147714M,http://openlibrary.org/books/OL60147714M/A_Feast_for_Crows,A Feast for Crows,2011,,Bantam Books,Bantam Books,New York Times bestseller; nyt:mass_market_paperback=2011-08-20; Seven Kingdoms (Imaginary place); Fiction; Fantasy fiction; Fantasy; Reading Level-Grade 7; Reading Level-Grade 9,New York Times bestseller,65,https://covers.openlibrary.org/b/id/15123756-L.jpg
166,"Matched (Matched, #1)",0525423648,True,OL24840179M,http://openlibrary.org/books/OL24840179M/Matched,Matched,2010,369.0,Dutton Books,Dutton Books,Young adult fiction; Fantasy; Juvenile fiction; Mate selection; Fiction; Self-realization; Triangles (Interpersonal relations); Marriage,Young adult fiction,37,https://covers.openlibrary.org/b/id/15159662-L.jpg
167,"American Gods (American Gods, #1)",0747263744,True,OL7960381M,http://openlibrary.org/books/OL7960381M/American_Gods,American Gods,2002-03-04,672.0,Headline Book Publishing,Headline Book Publishing,science fiction; fantasy fiction; Americana; fantasy; mythology; Spiritual warfare; Literature; award:hugo_award=2002,science fiction,39,https://covers.openlibrary.org/b/id/485849-L.jpg
168,The Stand,0385199570,True,OL24876792M,http://openlibrary.org/books/OL24876792M/The_stand,The stand,1990,1153.0,Doubleday,Doubleday,suspense & thriller; gothic & horror; biological warfare; research; horror fiction; horror tales; Fiction; Thrillers,suspense & thriller,31,
169,The Last Song,0446547565,True,OL24001796M,http://openlibrary.org/books/OL24001796M/The_last_song,The last song,2009,390.0,Grand Central Pub.; Grand Central Publishing,Grand Central Pub.,Literature; Teenage girls; Fiction; Love stories; Movie novels; Divorce; First loves; Bildungsromans,Literature,26,https://covers.openlibrary.org/b/id/6961564-L.jpg
170,Digital Fortress,9780552151712,False,,,,,,,,,,0,
171,Emma,0141439580,True,OL40233751M,http://openlibrary.org/books/OL40233751M/Emma,Emma,2015,512.0,Penguin Books,Penguin Books,Social life and customs; Mate selection; Fiction; Fathers and daughters; open_syllabus_project; Historical Fiction; Female friendship; Young women,Social life and customs,98,https://covers.openlibrary.org/b/id/12991890-L.jpg
173,A Clockwork Orange,0393312836,True,OL18375627M,http://openlibrary.org/books/OL18375627M/A_Clockwork_Orange,A Clockwork Orange,1986,192.0,W.W. Norton & Company,W.W. Norton & Company,bible; aversion therapy; unintended consequences; Beethoven's Fifth Symphony; gang rape; psychiatric hospitals; maturity; metanoia,bible,61,https://covers.openlibrary.org/b/id/8401474-L.jpg
174,The Shack,0964729237,True,OL20962064M,http://openlibrary.org/books/OL20962064M/The_Shack,The Shack,2007,252.0,Windblown Media,Windblown Media,"Life change events; Missing children; Fiction; nyt:mass_market_paperback=2011-10-15; New York Times bestseller; Change (Psychology); Fiction, suspense; Fiction, religious",Life change events,11,https://covers.openlibrary.org/b/id/6646894-L.jpg
175,"The Last Olympian (Percy Jackson and the Olympians, #5)",0739380338,True,OL26063199M,http://openlibrary.org/books/OL26063199M/The_Last_Olympian,The Last Olympian,2009,,Listening Library,Listening Library,Serie:Percy_Jackson_and_the_Olympians; Fiction; Greek Mythology; Monsters; Mythical Animals; Juvenile fiction; Young Adult Fiction; Children's fiction,Serie:Percy_Jackson_and_the_Olympians,30,https://covers.openlibrary.org/b/id/7656480-L.jpg
177,Crime and Punishment,0143058142,True,OL7361882M,http://openlibrary.org/books/OL7361882M/Crime_and_Punishment_(Penguin_Classics),Crime and Punishment (Penguin Classics),"June 16, 2005",1.0,Penguin Audio,Penguin Audio,English Translations; Russian literature; Novela psicológica; Fiction; Translations into Yiddish; Psychological fiction; German language; Murder,English Translations,63,https://covers.openlibrary.org/b/id/111733-L.jpg
180,Siddhartha,0553208845,True,OL15979990M,http://openlibrary.org/books/OL15979990M/Siddhartha,Siddhartha,1971,152.0,Bantam Books,Bantam Books,Alegorías; Buddha (The concept); Buddha and Buddhism; Buddhism; Buddhist Philosophy; Budismo; Chrestomathies and readers; Classic Literature,Alegorías,58,https://covers.openlibrary.org/b/id/6456720-L.jpg
181,In Cold Blood,0679745580,True,OL61508837M,http://openlibrary.org/books/OL61508837M/In_Cold_Blood,In Cold Blood,1994,343.0,Vintage,Vintage,"True; Crime; Murder; Mystery; Cas, Études de; Meurtre; Análisis de casos; Asesinato",True,45,https://covers.openlibrary.org/b/id/15206099-L.jpg
